"Order ID","Email","Financial Status","Paid at","Fulfillment Status","Fulfilled at","Currency","Subtotal","Shipping","Taxes","Amount Refunded","Total","Discount Code","Discount Amount","Shipping Method","Created at","Lineitem quantity","Lineitem name","Lineitem price","Lineitem sku","Lineitem variant","Lineitem requires shipping","Lineitem taxable","Lineitem fulfillment status","Billing Name","Billing Address1","Billing Address2","Billing City","Billing Zip","Billing Province","Billing Country","Billing Phone","Shipping Name","Shipping Address1","Shipping Address2","Shipping City","Shipping Zip","Shipping Province","Shipping Country","Shipping Phone","Cancelled at","Private Notes","Channel Type","Channel Name","Channel Order Number","Payment Method","Payment Reference"
"05631","dummy@example.com","PAID","2023-06-30 14:55:13 +0100","FULFILLED","2023-06-30 14:55:15 +0100","USD","39.95","0.00","0.00","0.00","39.95","","0.00","Digitally Delivered","2023-06-30 14:55:13 +0100","1","Code For Your Life","39.95","","","false","true","FULFILLED","Dummy Customer","Dummy House","Fake Street","Dummyville","BOGUS","England","United Kingdom","","","","","","","","","","","","ONLINE","Squarespace","05631","Stripe","dummy_payref"
"05630","dummy@example.com","PAID","2023-06-30 14:23:31 +0100","FULFILLED","2023-06-30 14:23:33 +0100","USD","39.95","0.00","0.00","0.00","39.95","","0.00","Digitally Delivered","2023-06-30 14:23:31 +0100","1","The Power of Go: Tests","39.95","","","false","true","FULFILLED","Dummy Customer","Dummy House","Fake Street","Dummyville","BOGUS","QLD","Australia","","","","","","","","","","","","ONLINE","Squarespace","05630","Stripe","dummy_payref"
"05629","dummy@example.com","PAID","2023-06-30 12:01:23 +0100","FULFILLED","2023-06-30 12:01:31 +0100","USD","74.95","0.00","0.00","0.00","74.95","","0.00","Digitally Delivered","2023-06-30 12:01:23 +0100","1","For the Love of Go: Video/Book Bundle (2023 edition)","74.95","","","false","true","FULFILLED","Dummy Customer","Dummy House","Fake Street","Dummyville","BOGUS","Thirsk","United Kingdom","","","","","","","","","","","","ONLINE","Squarespace","05629","PayPal","dummy_payref"
"05628","dummy@example.com","PAID","2023-06-30 11:38:11 +0100","FULFILLED","2023-06-30 11:38:13 +0100","USD","39.95","0.00","0.00","0.00","39.95","","0.00","Digitally Delivered","2023-06-30 11:38:11 +0100","1","The Power of Go: Tools","39.95","","","false","true","FULFILLED","Dummy Customer","Dummy House","Fake Street","Dummyville","BOGUS","Iasi","Romania","","","","","","","","","","","","ONLINE","Squarespace","05628","Stripe","dummy_payref"
"05627","dummy@example.com","PAID","2023-06-30 11:32:14 +0100","FULFILLED","2023-06-30 11:32:22 +0100","USD","199.75","0.00","0.00","0.00","199.75","","0.00","Digitally Delivered","2023-06-30 11:32:14 +0100","1","Code For Your Life","39.95","","","false","true","FULFILLED","Dummy Customer","Dummy House","Fake Street","Dummyville","BOGUS","","Germany","","","","","","","","","","","","ONLINE","Squarespace","05627","PayPal","dummy_payref"
"05627","","","","","","","","","","","","","","","","1","For the Love of Go (2023)","39.95","","","false","true","FULFILLED","","","","","","","","","","","","","","","","","","","","","","",""
